column_number,column_name
1,id
2,member_id
3,loan_amnt
4,funded_amnt
5,funded_amnt_inv
6,term
7,int_rate
8,installment
9,grade
10,sub_grade
11,emp_title
12,emp_length
13,home_ownership
14,annual_inc
15,verification_status
16,issue_d
17,loan_status
18,pymnt_plan
19,url
20,desc
21,purpose
22,title
23,zip_code
24,addr_state
25,dti
26,delinq_2yrs
27,earliest_cr_line
28,fico_range_low
29,fico_range_high
30,inq_last_6mths
31,mths_since_last_delinq
32,mths_since_last_record
33,open_acc
34,pub_rec
35,revol_bal
36,revol_util
37,total_acc
38,initial_list_status
39,out_prncp
40,out_prncp_inv
41,total_pymnt
42,total_pymnt_inv
43,total_rec_prncp
44,total_rec_int
45,total_rec_late_fee
46,recoveries
47,collection_recovery_fee
48,last_pymnt_d
49,last_pymnt_amnt
50,next_pymnt_d
51,last_credit_pull_d
52,last_fico_range_high
53,last_fico_range_low
54,collections_12_mths_ex_med
55,mths_since_last_major_derog
56,policy_code
57,application_type
58,annual_inc_joint
59,dti_joint
60,verification_status_joint
61,acc_now_delinq
62,tot_coll_amt
63,tot_cur_bal
64,open_acc_6m
65,open_act_il
66,open_il_12m
67,open_il_24m
68,mths_since_rcnt_il
69,total_bal_il
70,il_util
71,open_rv_12m
72,open_rv_24m
73,max_bal_bc
74,all_util
75,total_rev_hi_lim
76,inq_fi
77,total_cu_tl
78,inq_last_12m
79,acc_open_past_24mths
80,avg_cur_bal
81,bc_open_to_buy
82,bc_util
83,chargeoff_within_12_mths
84,delinq_amnt
85,mo_sin_old_il_acct
86,mo_sin_old_rev_tl_op
87,mo_sin_rcnt_rev_tl_op
88,mo_sin_rcnt_tl
89,mort_acc
90,mths_since_recent_bc
91,mths_since_recent_bc_dlq
92,mths_since_recent_inq
93,mths_since_recent_revol_delinq
94,num_accts_ever_120_pd
95,num_actv_bc_tl
96,num_actv_rev_tl
97,num_bc_sats
98,num_bc_tl
99,num_il_tl
100,num_op_rev_tl
101,num_rev_accts
102,num_rev_tl_bal_gt_0
103,num_sats
104,num_tl_120dpd_2m
105,num_tl_30dpd
106,num_tl_90g_dpd_24m
107,num_tl_op_past_12m
108,pct_tl_nvr_dlq
109,percent_bc_gt_75
110,pub_rec_bankruptcies
111,tax_liens
112,tot_hi_cred_lim
113,total_bal_ex_mort
114,total_bc_limit
115,total_il_high_credit_limit
116,revol_bal_joint
117,sec_app_fico_range_low
118,sec_app_fico_range_high
119,sec_app_earliest_cr_line
120,sec_app_inq_last_6mths
121,sec_app_mort_acc
122,sec_app_open_acc
123,sec_app_revol_util
124,sec_app_open_act_il
125,sec_app_num_rev_accts
126,sec_app_chargeoff_within_12_mths
127,sec_app_collections_12_mths_ex_med
128,sec_app_mths_since_last_major_derog
129,hardship_flag
130,hardship_type
131,hardship_reason
132,hardship_status
133,deferral_term
134,hardship_amount
135,hardship_start_date
136,hardship_end_date
137,payment_plan_start_date
138,hardship_length
139,hardship_dpd
140,hardship_loan_status
141,orig_projected_additional_accrued_interest
142,hardship_payoff_balance_amount
143,hardship_last_payment_amount
144,disbursement_method
145,debt_settlement_flag
146,debt_settlement_flag_date
147,settlement_status
148,settlement_date
149,settlement_amount
150,settlement_percentage
151,settlement_term
