column,dtype,missing_count,missing_percent,unique_values
id,int64,0,0.0,50000
member_id,float64,50000,100.0,0
loan_amnt,float64,0,0.0,1293
funded_amnt,float64,0,0.0,1293
funded_amnt_inv,float64,0,0.0,1316
term,str,0,0.0,2
int_rate,float64,0,0.0,70
installment,float64,0,0.0,11548
grade,str,0,0.0,7
sub_grade,str,0,0.0,35
emp_title,str,2995,5.99,21288
emp_length,str,2989,5.98,11
home_ownership,str,0,0.0,4
annual_inc,float64,0,0.0,4480
verification_status,str,0,0.0,3
issue_d,str,0,0.0,2
loan_status,str,0,0.0,7
pymnt_plan,str,0,0.0,2
url,str,0,0.0,50000
desc,str,49997,99.99,3
purpose,str,0,0.0,12
title,str,132,0.26,12
zip_code,str,0,0.0,856
addr_state,str,0,0.0,49
dti,float64,1,0.0,3984
delinq_2yrs,float64,0,0.0,16
earliest_cr_line,str,0,0.0,605
fico_range_low,float64,0,0.0,38
fico_range_high,float64,0,0.0,38
inq_last_6mths,float64,0,0.0,6
mths_since_last_delinq,float64,23999,48.0,110
mths_since_last_record,float64,40815,81.63,121
open_acc,float64,0,0.0,56
pub_rec,float64,0,0.0,18
revol_bal,float64,0,0.0,27499
revol_util,float64,24,0.05,1083
total_acc,float64,0,0.0,104
initial_list_status,str,0,0.0,2
out_prncp,float64,0,0.0,4219
out_prncp_inv,float64,0,0.0,4372
total_pymnt,float64,0,0.0,47085
total_pymnt_inv,float64,0,0.0,45933
total_rec_prncp,float64,0,0.0,14056
total_rec_int,float64,0,0.0,44245
total_rec_late_fee,float64,0,0.0,1396
recoveries,float64,0,0.0,5726
collection_recovery_fee,float64,0,0.0,5826
last_pymnt_d,str,34,0.07,40
last_pymnt_amnt,float64,0,0.0,35157
next_pymnt_d,str,44005,88.01,2
last_credit_pull_d,str,1,0.0,41
last_fico_range_high,float64,0,0.0,72
last_fico_range_low,float64,0,0.0,71
collections_12_mths_ex_med,float64,0,0.0,6
mths_since_last_major_derog,float64,35221,70.44,120
policy_code,float64,0,0.0,1
application_type,str,0,0.0,2
annual_inc_joint,float64,49764,99.53,170
dti_joint,float64,49765,99.53,224
verification_status_joint,str,49764,99.53,1
acc_now_delinq,float64,0,0.0,3
tot_coll_amt,float64,0,0.0,2748
