borrower_id,loan_amnt,annual_inc,dti,int_rate,target,predicted_risk
127769029,35000.0,52707.0,12.66,20.0,1,0.8249039047733793
68142631,14350.0,48000.0,34.03,22.45,0,0.792004004395059
142173005,25325.0,104000.0,3.42,29.69,1,0.7490148411615284
134218030,22000.0,25100.0,9.42,18.45,1,0.7302272277957426
113152925,35000.0,219000.0,26.89,10.42,1,0.723866227435521
85608744,17575.0,52400.0,18.12,27.79,1,0.715223392920078
6726267,35000.0,85000.0,25.9,24.5,1,0.7106553406755892
57245912,12800.0,65000.0,39.09,19.99,1,0.6948088795708691
134907566,30000.0,52000.0,9.88,18.45,0,0.6879155173005752
78001583,11000.0,55000.0,34.08,25.11,1,0.6868988319296682
